soc_fraction,origin,destination,demand,retained_paths,distinct_charging_stations,refinement_round,selection_reason
0.1,1252,349,0.0663856325,5,1,0,path_count_below_K;low_station_diversity
0.1,1252,352,0.123980745,5,1,0,path_count_below_K;low_station_diversity
0.1,1252,355,0.00680667,5,1,0,path_count_below_K;low_station_diversity
0.1,1252,361,0.026356515,5,1,0,path_count_below_K;low_station_diversity
0.1,1252,363,0.0731464475,5,1,0,path_count_below_K;low_station_diversity
0.1,1252,365,0.068947255,5,1,0,path_count_below_K;low_station_diversity
0.1,1252,375,0.1413128125,5,1,0,path_count_below_K;low_station_diversity
0.1,1252,377,0.10591805,5,1,0,path_count_below_K;low_station_diversity
0.1,1252,379,0.0821989,5,1,0,path_count_below_K;low_station_diversity
0.1,1252,389,0.1051259625,5,1,0,path_count_below_K;low_station_diversity
0.1,1252,39,0.0547798875,5,1,0,path_count_below_K;low_station_diversity
0.1,1252,398,0.05014951,5,1,0,path_count_below_K;low_station_diversity
0.1,1252,4,0.107604325,5,1,0,path_count_below_K;low_station_diversity
0.1,1252,407,0.1256502425,5,1,0,path_count_below_K;low_station_diversity
0.1,1252,409,0.01802256,5,1,0,path_count_below_K;low_station_diversity
0.1,1252,41,0.114133745,5,1,0,path_count_below_K;low_station_diversity
0.1,1252,410,0.0227183,5,1,0,path_count_below_K;low_station_diversity
0.1,1252,419,0.0435520225,5,1,0,path_count_below_K;low_station_diversity
0.1,1252,424,0.0032887175,5,1,0,path_count_below_K;low_station_diversity
0.1,1252,428,0.015421075,5,1,0,path_count_below_K;low_station_diversity
0.1,1252,429,0.0822737825,5,1,0,path_count_below_K;low_station_diversity
0.1,1252,432,0.016310105,5,1,0,path_count_below_K;low_station_diversity
0.1,1252,437,0.0148952275,5,1,0,path_count_below_K;low_station_diversity
0.1,1252,439,0.0079040675,5,1,0,path_count_below_K;low_station_diversity
0.1,1252,447,0.02184658,5,1,0,path_count_below_K;low_station_diversity
0.1,1252,450,0.04898007,5,1,0,path_count_below_K;low_station_diversity
0.1,1252,451,0.00972586,5,1,0,path_count_below_K;low_station_diversity
0.1,1252,46,0.0801472325,5,1,0,path_count_below_K;low_station_diversity
0.1,1252,460,0.0226075675,5,1,0,path_count_below_K;low_station_diversity
0.1,1252,461,0.0084473675,5,1,0,path_count_below_K;low_station_diversity
0.1,1252,468,0.002304395,5,1,0,path_count_below_K;low_station_diversity
0.1,1252,470,0.0233407375,5,1,0,path_count_below_K;low_station_diversity
0.1,1252,474,0.003640335,5,1,0,path_count_below_K;low_station_diversity
0.1,1252,484,0.0069578875,5,1,0,path_count_below_K;low_station_diversity
0.1,1252,487,0.0507319975,5,1,0,path_count_below_K;low_station_diversity
0.1,1252,49,0.13556475,5,1,0,path_count_below_K;low_station_diversity
0.1,1252,492,0.0077218625,5,1,0,path_count_below_K;low_station_diversity
0.1,1252,503,0.004118675,5,1,0,path_count_below_K;low_station_diversity
