soc_fraction,origin,destination,demand,retained_paths,distinct_charging_stations,refinement_round,selection_reason
0.1,560,1528,0.08110954,5,1,0,path_count_below_K;low_station_diversity
0.1,560,172,0.25507941,5,1,0,path_count_below_K;low_station_diversity
0.1,560,4,0.2893519675,5,1,0,path_count_below_K;low_station_diversity
0.1,560,407,0.343241875,5,1,0,path_count_below_K;low_station_diversity
0.1,560,410,0.0913939,5,1,0,path_count_below_K;low_station_diversity
0.1,560,419,0.1299483575,5,1,0,path_count_below_K;low_station_diversity
0.1,560,424,0.0128901425,5,1,0,path_count_below_K;low_station_diversity
0.1,560,578,0.9934054025,5,0,0,path_count_below_K
0.1,560,584,1.85489091,5,0,0,path_count_below_K;high_demand
0.1,560,692,0.0604551925,5,1,0,path_count_below_K;low_station_diversity
0.1,560,693,0.06301541,5,1,0,path_count_below_K;low_station_diversity
0.1,560,707,0.0844895725,5,1,0,path_count_below_K;low_station_diversity
0.1,560,754,1.6901995625,5,0,0,path_count_below_K;high_demand
0.1,578,560,1.91124302,5,0,0,path_count_below_K;high_demand
0.1,578,584,2.869912425,5,0,0,path_count_below_K;high_demand
0.1,584,1271,0.005370295,5,1,0,path_count_below_K;low_station_diversity
0.1,584,1521,0.001446185,5,1,0,path_count_below_K;high_overlap;low_station_diversity
0.1,584,1528,0.0102492425,5,1,0,path_count_below_K;low_station_diversity
0.1,584,172,0.0134376875,5,1,0,path_count_below_K;low_station_diversity
0.1,584,4,0.01917372,5,1,0,path_count_below_K;low_station_diversity
0.1,584,419,0.01136023,5,1,0,path_count_below_K;low_station_diversity
0.1,584,424,0.0004821475,5,1,0,path_count_below_K;low_station_diversity
0.1,584,707,0.00518414,5,1,0,path_count_below_K;high_overlap;low_station_diversity
0.1,584,839,0.00679352,5,1,0,path_count_below_K;low_station_diversity
0.1,707,706,2.1533770225,5,0,0,path_count_below_K;high_demand
0.1,717,643,0.0233657525,5,1,0,path_count_below_K;low_station_diversity
0.1,717,656,0.0167126775,5,1,0,path_count_below_K;low_station_diversity
0.1,717,667,0.0280615425,5,1,0,path_count_below_K;low_station_diversity
0.1,717,681,0.00663723,5,1,0,path_count_below_K;low_station_diversity
0.1,726,1190,1.8089429425,5,0,0,path_count_below_K;high_demand
0.1,726,1224,1.21329518,5,0,0,path_count_below_K
0.1,726,1521,0.06192899,5,1,0,path_count_below_K;high_overlap;low_station_diversity
0.1,726,1528,0.138110325,5,1,0,path_count_below_K;low_station_diversity
0.1,726,560,1.286077355,5,0,0,path_count_below_K
0.1,726,707,0.0688679125,5,1,0,path_count_below_K;high_overlap;low_station_diversity
0.1,726,751,0.977928685,5,0,0,path_count_below_K
0.1,726,754,1.7046849875,5,0,0,path_count_below_K;high_demand
0.1,726,777,1.6116245725,5,0,0,path_count_below_K;high_demand
0.1,726,784,1.4902747425,5,0,0,path_count_below_K;high_demand
0.1,75,104,1.56766154,5,0,0,path_count_below_K;high_demand
0.1,75,52,1.331079585,5,0,0,path_count_below_K;high_demand
0.1,751,1521,0.01390842,5,1,0,path_count_below_K;low_station_diversity
0.1,751,681,0.0280497675,5,1,0,path_count_below_K;low_station_diversity
0.1,751,707,0.056421175,5,1,0,path_count_below_K;low_station_diversity
0.1,751,726,1.14609824,5,0,0,path_count_below_K
0.1,751,754,1.591986945,5,0,0,path_count_below_K;high_demand
0.1,754,1521,0.0330578175,5,1,0,path_count_below_K;high_overlap;low_station_diversity
0.1,754,1528,0.0156383325,5,1,0,path_count_below_K;low_station_diversity
0.1,754,172,0.1165323325,5,1,0,path_count_below_K;low_station_diversity
0.1,754,4,0.133675645,5,1,0,path_count_below_K;low_station_diversity
0.1,754,681,0.03821988,5,1,0,path_count_below_K;high_overlap;low_station_diversity
0.1,754,707,0.0351869375,5,1,0,path_count_below_K;high_overlap;low_station_diversity
0.1,770,1521,0.1361764425,5,1,0,path_count_below_K;low_station_diversity
0.1,770,1528,0.09880906,5,1,0,path_count_below_K;low_station_diversity
0.1,770,172,0.2252303825,5,1,0,path_count_below_K;low_station_diversity
0.1,770,4,0.2640401425,5,1,0,path_count_below_K;low_station_diversity
0.1,770,407,0.3331103925,5,1,0,path_count_below_K;low_station_diversity
0.1,770,409,0.0882309425,5,1,0,path_count_below_K;low_station_diversity
0.1,770,410,0.13948553,5,1,0,path_count_below_K;low_station_diversity
0.1,770,419,0.1460474,5,1,0,path_count_below_K;low_station_diversity
0.1,770,424,0.01158841,5,1,0,path_count_below_K;low_station_diversity
0.1,770,428,0.0507598125,5,1,0,path_count_below_K;high_overlap;low_station_diversity
0.1,770,584,1.605665385,5,0,0,path_count_below_K;high_demand
0.1,770,692,0.08048065,5,1,0,path_count_below_K;high_overlap;low_station_diversity
0.1,770,693,0.063116335,5,1,0,path_count_below_K;high_overlap;low_station_diversity
0.1,770,707,0.108243695,5,1,0,path_count_below_K;low_station_diversity
0.1,777,1224,1.0793611225,5,0,0,path_count_below_K
0.1,777,1521,0.0115899975,5,1,0,path_count_below_K;high_overlap;low_station_diversity
0.1,777,1528,0.0598569475,5,1,0,path_count_below_K;low_station_diversity
0.1,777,707,0.030497005,5,1,0,path_count_below_K;high_overlap;low_station_diversity
