Fuel Type Code,Station Name,Street Address,City,State,ZIP,Status Code,Access Days Time,EV Level1 EVSE Num,EV Level2 EVSE Num,EV DC Fast Count,EV Network,Geocode Status,Latitude,Longitude,ID,Open Date,Access Code,Facility Type,Restricted Access,EV Workplace Charging,EV J1772 Connector Count,EV CCS Connector Count,EV CHAdeMO Connector Count,EV J3400 Connector Count,EV J3271 Connector Count,city_clean,state_clean,fuel_clean,status_clean,access_clean,restricted_access,L1,L2,DCFC,unit_row_count,total_ports,unit_rows_equal_reported_ports,site_key,site_id,station_ids,n_station_ids,projected_x_m,projected_y_m,cluster_zero_based,group,distance_to_center_km
ELEC,UNITED ORD LOT UNITED 2,5600 Bessie Coleman Dr,Chicago,IL,60666,E,24 hours daily,,2.0,,ChargePoint Network,GPS,41.981799,-87.8878,173550,2021-01-27,public,,False,False,1,0,0,0,0,chicago,IL,ELEC,E,public,False,0,2,0,2,2,True,5600 bessie coleman dr|41.9818|-87.8878,173550,173550,1,426453.25167147134,4648136.547101637,3,3,0.2355830142722285
ELEC,UNITED ORD LOT UNITED 8,5600 Bessie Coleman Dr,Chicago,IL,60666,E,24 hours daily,,2.0,,ChargePoint Network,GPS,41.981142,-87.888646,173551,2021-01-27,public,,False,False,1,0,0,0,0,chicago,IL,ELEC,E,public,False,0,2,0,2,2,True,5600 bessie coleman dr|41.98114|-87.88865,173551,173551,1,426382.4102635513,4648064.327239561,3,3,0.32079994379116006
ELEC,SP PLUS CORP MCCORMICK 1,2301 S Prairie Ave,Chicago,IL,60616,E,24 hours daily,,2.0,,ChargePoint Network,GPS,41.851227,-87.620567,174126,2021-01-27,public,,False,False,1,0,0,0,0,chicago,IL,ELEC,E,public,False,0,2,0,2,2,True,2301 s prairie ave|41.85123|-87.62057,174126,174126,1,448486.46717449767,4633444.475972444,0,6,3.900634697301061
ELEC,HF HF-2,3740 N Halsted St,Chicago,IL,60613,E,24 hours daily,,2.0,,ChargePoint Network,GPS,41.950568,-87.649802,174138,2021-01-27,public,,False,False,1,0,0,0,0,chicago,IL,ELEC,E,public,False,0,2,0,2,2,True,3740 n halsted st|41.95057|-87.6498,174138,174138,1,446143.18933193217,4644492.031343147,5,4,2.152422222024571
ELEC,SOLDIER FIELD STATION 01,1410 Museum Campus Dr,Chicago,IL,60605,E,24 hours daily,,2.0,,ChargePoint Network,GPS,41.864039,-87.617223,174559,2021-01-27,public,,False,False,1,0,0,0,0,chicago,IL,ELEC,E,public,False,0,2,0,2,2,True,1410 museum campus dr|41.86404|-87.61722,174559,174559,1,448774.2808934751,4634864.950830667,0,6,2.7068271605052905
ELEC,SOLDIER FIELD STATION 03,1410 Museum Campus Dr,Chicago,IL,60605,E,24 hours daily,,2.0,,ChargePoint Network,GPS,41.863455,-87.616349,174560,2021-01-27,public,,False,False,1,0,0,0,0,chicago,IL,ELEC,E,public,False,0,2,0,2,2,True,1410 museum campus dr|41.86346|-87.61635,174560,174560,1,448846.3523347355,4634799.589969646,0,6,2.8001214225844695
ELEC,BUCK MANAGEMENT LEVEL 2 249,845 W Madison St,Chicago,IL,60607,E,24 hours daily,,2.0,,ChargePoint Network,GPS,41.880822,-87.649123,180605,2021-01-27,public,,False,False,1,0,0,0,0,chicago,IL,ELEC,E,public,False,0,2,0,2,2,True,845 w madison st|41.88082|-87.64912,180605,180605,1,446140.85594724334,4636747.846112627,0,6,1.3133791634959393
ELEC,BUCK MANAGEMENT LEVEL 2 246,845 W Madison St,Chicago,IL,60607,E,24 hours daily,,2.0,,ChargePoint Network,GPS,41.88071,-87.649101,180606,2021-01-27,public,,False,False,1,0,0,0,0,chicago,IL,ELEC,E,public,False,0,2,0,2,2,True,845 w madison st|41.88071|-87.6491,180606,180606,1,446142.58729309135,4636735.397245417,0,6,1.3159449869382283
ELEC,BUCK MANAGEMENT LEVEL 2 324,845 W Madison St,Chicago,IL,60607,E,24 hours daily,,2.0,,ChargePoint Network,GPS,41.880838,-87.649007,180607,2021-01-27,public,,False,False,1,0,0,0,0,chicago,IL,ELEC,E,public,False,0,2,0,2,2,True,845 w madison st|41.88084|-87.64901,180607,180607,1,446150.4941984254,4636749.549758141,0,6,1.303724047399057
ELEC,PEOPLES GAS CENTRAL EV3,4207 W 35th Pl Central Shop,Chicago,IL,60646,E,24 hours daily,,2.0,,ChargePoint Network,GPS,41.989425,-87.730459,180617,2021-01-27,public,,False,False,1,0,0,0,0,chicago,IL,ELEC,E,public,False,0,2,0,2,2,True,4207 w 35th pl central shop|41.98942|-87.73046,180617,180617,1,439494.93281236594,4648860.125109457,1,1,0.35833812298917905
