prescreen_signature,subset_index,repaired_station_count,repaired_stations,operational_stations,station_repair_cost_usd,road_budget_remaining_usd,evaluation_mode,evaluation_complete,served_total,served_ev,served_non_ev,ev_completion_target,ev_target_shortfall,ev_target_feasible,queue_feasible,hard_feasible,max_station_utilization,unstable_station_count,nonfinite_wait_station_count,finite_system_time_min,direct_ev_demand,energy_reachable_ev,max_stable_served_ev,structurally_unreachable_ev,charging_capacity_shortfall_ev,station_entries_3hr_json,station_strict_capacities_3hr_json,selected_for_warmstart,warmstart_selection_reason
975b95bc64c1d316,18,2,C4;C6,C3;C4;C6;C8;C9,9384000.0,-4384000.0,flood_range_capacity_maxflow_oracle,1,1078435.217128493,19632.40712849278,1058802.81,19712.0,79.59287150721866,0,0,0,0.999999,0,0,,18811.481133692498,19698.025873274997,19632.40712849278,203.9470770950029,65.61874478221705,"{""C3"": 129.15081424528302, ""C4"": 351.37913846954706, ""C6"": 309.691337442953, ""C8"": 15.308011602500002, ""C9"": 15.396693040000017}","{""C3"": 129.15081424528302, ""C4"": 351.37913846954706, ""C6"": 1007.0348783326328, ""C8"": 79.11384493670884, ""C9"": 104.25609409090907}",0,
975b95bc64c1d316,19,2,C4;C7,C3;C4;C7;C8;C9,2568000.0,2432000.0,flood_range_capacity_maxflow_oracle,1,1078401.8126321957,19599.00263219551,1058802.81,19712.0,112.99736780449166,0,0,0,0.999999,0,0,,18811.481133692498,19712.551206417498,19599.00263219551,189.42174395250186,113.54857422198882,"{""C3"": 129.15081424528302, ""C4"": 351.37913846954706, ""C7"": 123.62160676056338, ""C8"": 79.11384493670884, ""C9"": 104.25609409090907}","{""C3"": 129.15081424528302, ""C4"": 351.37913846954706, ""C7"": 123.62160676056338, ""C8"": 79.11384493670884, ""C9"": 104.25609409090907}",0,
975b95bc64c1d316,20,2,C5;C6,C3;C5;C6;C8;C9,8364000.0,-3364000.0,flood_range_capacity_maxflow_oracle,1,1078508.9571463251,19706.147146324998,1058802.81,19712.0,5.852853675001825,0,1,0,0.999999,0,0,,18811.481133692498,19706.147146324998,19706.147146324998,195.82580404500186,0.0,"{""C3"": 129.15081424528302, ""C5"": 263.51325, ""C6"": 471.297243744717, ""C8"": 15.308011602500002, ""C9"": 15.396693040000017}","{""C3"": 129.15081424528302, ""C5"": 263.51325, ""C6"": 1007.0348783326328, ""C8"": 79.11384493670884, ""C9"": 104.25609409090907}",0,
975b95bc64c1d316,21,2,C5;C7,C3;C5;C7;C8;C9,1548000.0,3452000.0,flood_range_capacity_maxflow_oracle,1,1078313.946743726,19511.13674372596,1058802.81,19712.0,200.86325627403858,0,0,0,0.999999,0,0,,18811.481133692498,19712.551206417498,19511.13674372596,189.42174395250186,201.41446269153585,"{""C3"": 129.15081424528302, ""C5"": 263.51325, ""C7"": 123.62160676056338, ""C8"": 79.11384493670884, ""C9"": 104.25609409090907}","{""C3"": 129.15081424528302, ""C5"": 263.51325, ""C7"": 123.62160676056338, ""C8"": 79.11384493670884, ""C9"": 104.25609409090907}",0,
975b95bc64c1d316,22,2,C6;C7,C3;C6;C7;C8;C9,8352000.0,-3352000.0,flood_range_capacity_maxflow_oracle,1,1078393.7002446079,19590.89024460778,1058802.81,19712.0,121.10975539221909,0,0,0,0.999999,0,0,,18811.481133692498,19712.551206417498,19590.89024460778,189.42174395250186,121.66096180971692,"{""C3"": 129.15081424528302, ""C6"": 579.4416149775, ""C7"": 68.54921645000002, ""C8"": 0.8672827900000044, ""C9"": 1.4001824525000046}","{""C3"": 129.15081424528302, ""C6"": 1007.0348783326328, ""C7"": 123.62160676056338, ""C8"": 79.11384493670884, ""C9"": 104.25609409090907}",0,
975b95bc64c1d316,23,3,C1;C2;C4,C1;C2;C3;C4;C8;C9,2400000.0,2600000.0,flood_range_capacity_maxflow_oracle,1,1078357.4610191577,19554.651019157573,1058802.81,19712.0,157.3489808424274,0,0,0,0.999999,0,0,,18811.481133692498,19698.025873274997,19554.651019157573,203.9470770950029,143.37485411742443,"{""C1"": 49.27002372262774, ""C2"": 29.999969999999998, ""C3"": 129.15081424528302, ""C4"": 351.37913846954706, ""C8"": 79.11384493670884, ""C9"": 104.25609409090907}","{""C1"": 49.27002372262774, ""C2"": 29.999969999999998, ""C3"": 129.15081424528302, ""C4"": 351.37913846954706, ""C8"": 79.11384493670884, ""C9"": 104.25609409090907}",0,
975b95bc64c1d316,24,3,C1;C2;C5,C1;C2;C3;C5;C8;C9,1380000.0,3620000.0,flood_range_capacity_maxflow_oracle,1,1078269.595130688,19466.785130688026,1058802.81,19712.0,245.21486931197433,0,0,0,0.999999,0,0,,18811.481133692498,19706.147146324998,19466.785130688026,195.82580404500186,239.36201563697148,"{""C1"": 49.27002372262774, ""C2"": 29.999969999999998, ""C3"": 129.15081424528302, ""C5"": 263.51325, ""C8"": 79.11384493670884, ""C9"": 104.25609409090907}","{""C1"": 49.27002372262774, ""C2"": 29.999969999999998, ""C3"": 129.15081424528302, ""C5"": 263.51325, ""C8"": 79.11384493670884, ""C9"": 104.25609409090907}",0,
975b95bc64c1d316,25,3,C1;C2;C6,C1;C2;C3;C6;C8;C9,8184000.0,-3184000.0,flood_range_capacity_maxflow_oracle,1,1078432.8582612805,19630.048261280408,1058802.81,19712.0,81.95173871959196,0,0,0,0.999999,0,0,,18811.481133692498,19698.025873274997,19630.048261280408,203.9470770950029,67.97761199458932,"{""C1"": 49.27002372262774, ""C2"": 29.999969999999998, ""C3"": 129.15081424528302, ""C6"": 579.4416149775, ""C8"": 15.308011602500002, ""C9"": 15.396693040000017}","{""C1"": 49.27002372262774, ""C2"": 29.999969999999998, ""C3"": 129.15081424528302, ""C6"": 1007.0348783326328, ""C8"": 79.11384493670884, ""C9"": 104.25609409090907}",0,
975b95bc64c1d316,26,3,C1;C2;C7,C1;C2;C3;C7;C8;C9,1368000.0,3632000.0,flood_range_capacity_maxflow_oracle,1,1078129.7034874486,19326.89348744859,1058802.81,19712.0,385.10651255141056,0,0,0,0.999999,0,0,,18811.481133692498,19712.551206417498,19326.89348744859,189.42174395250186,385.65771896890794,"{""C1"": 49.27002372262774, ""C2"": 29.999969999999998, ""C3"": 129.15081424528302, ""C7"": 123.62160676056338, ""C8"": 79.11384493670884, ""C9"": 104.25609409090907}","{""C1"": 49.27002372262774, ""C2"": 29.999969999999998, ""C3"": 129.15081424528302, ""C7"": 123.62160676056338, ""C8"": 79.11384493670884, ""C9"": 104.25609409090907}",0,
975b95bc64c1d316,27,3,C1;C4;C5,C1;C3;C4;C5;C8;C9,2940000.0,2060000.0,flood_range_capacity_maxflow_oracle,1,1078508.9571463251,19706.147146324998,1058802.81,19712.0,5.852853675001825,0,1,0,0.999999,0,0,,18811.481133692498,19706.147146324998,19706.147146324998,195.82580404500186,0.0,"{""C1"": 49.27002372262774, ""C3"": 129.15081424528302, ""C4"": 351.37913846954706, ""C5"": 263.51325, ""C8"": 79.11384493670884, ""C9"": 22.23894125833347}","{""C1"": 49.27002372262774, ""C3"": 129.15081424528302, ""C4"": 351.37913846954706, ""C5"": 263.51325, ""C8"": 79.11384493670884, ""C9"": 104.25609409090907}",0,
