soc_fraction,origin,destination,demand,retained_paths,distinct_charging_stations,refinement_round,selection_reason
0.1,797,656,0.0190291,5,1,0,path_count_below_K;low_station_diversity
0.1,797,667,0.02143331,5,1,0,path_count_below_K;low_station_diversity
0.1,797,670,0.0041603275,5,1,0,path_count_below_K;low_station_diversity
0.1,797,681,0.0068801825,5,1,0,path_count_below_K;low_station_diversity
0.1,797,684,0.00215395,5,1,0,path_count_below_K;low_station_diversity
0.1,797,692,0.0052208875,5,1,0,path_count_below_K;low_station_diversity
0.1,797,693,0.0080653775,5,1,0,path_count_below_K;low_station_diversity
0.1,797,699,0.00325721,5,1,0,path_count_below_K;high_overlap;low_station_diversity
0.1,797,706,0.02069805,5,1,0,path_count_below_K;high_overlap;low_station_diversity
0.1,797,711,0.005621955,5,1,0,path_count_below_K;high_overlap;low_station_diversity
0.1,807,1528,0.020516715,5,1,0,path_count_below_K;high_overlap;low_station_diversity
0.1,807,699,0.01020337,5,1,0,path_count_below_K;high_overlap;low_station_diversity
0.1,807,706,0.0420044725,5,1,0,path_count_below_K;high_overlap;low_station_diversity
0.1,807,711,0.0194080975,5,1,0,path_count_below_K;high_overlap;low_station_diversity
0.1,807,820,1.55008668,5,0,0,path_count_below_K;high_demand
0.1,811,751,1.4404120525,5,0,0,path_count_below_K;high_demand
0.1,811,784,2.1287450375,5,0,0,path_count_below_K;high_demand
0.1,811,797,1.8384260925,5,0,0,path_count_below_K;high_demand
0.1,811,820,2.4495230925,5,0,0,path_count_below_K;high_demand
0.1,834,1528,0.00117786,5,1,0,path_count_below_K;high_overlap;low_station_diversity
0.1,834,172,0.0099002075,5,1,0,path_count_below_K;low_station_diversity
0.1,834,379,0.0156210475,5,1,0,path_count_below_K;low_station_diversity
0.1,834,424,0.000674985,5,1,0,path_count_below_K;low_station_diversity
0.1,834,428,0.0089802425,5,1,0,path_count_below_K;low_station_diversity
0.1,834,429,0.0179606725,5,1,0,path_count_below_K;low_station_diversity
0.1,834,630,0.003910185,5,1,0,path_count_below_K;low_station_diversity
0.1,834,642,0.006546395,5,1,0,path_count_below_K;low_station_diversity
0.1,834,643,0.0042559375,5,1,0,path_count_below_K;low_station_diversity
0.1,834,656,0.0182849025,5,1,0,path_count_below_K;low_station_diversity
0.1,834,667,0.0085494175,5,1,0,path_count_below_K;low_station_diversity
0.1,834,670,0.00173773,5,1,0,path_count_below_K;low_station_diversity
0.1,834,681,0.00212113,5,1,0,path_count_below_K;low_station_diversity
0.1,834,684,0.0008203,5,1,0,path_count_below_K;low_station_diversity
0.1,834,692,0.0022255875,5,1,0,path_count_below_K;low_station_diversity
0.1,834,693,0.00316466,5,1,0,path_count_below_K;low_station_diversity
0.1,834,699,0.00175732,5,1,0,path_count_below_K;high_overlap;low_station_diversity
0.1,834,706,0.0036357525,5,1,0,path_count_below_K;high_overlap;low_station_diversity
0.1,834,912,0.00669552,5,1,0,path_count_below_K;low_station_diversity
0.1,844,1031,1.1529262725,5,0,0,path_count_below_K
0.1,844,1528,0.0092508825,5,1,0,path_count_below_K;high_overlap;low_station_diversity
0.1,844,656,0.0289572475,5,1,0,path_count_below_K;low_station_diversity
0.1,844,667,0.0327986725,5,1,0,path_count_below_K;low_station_diversity
0.1,844,681,0.0073578525,5,1,0,path_count_below_K;low_station_diversity
0.1,844,693,0.01083961,5,1,0,path_count_below_K;low_station_diversity
0.1,844,699,0.008281165,5,1,0,path_count_below_K;low_station_diversity
0.1,844,706,0.0214163175,5,1,0,path_count_below_K;low_station_diversity
0.1,844,711,0.008848245,5,1,0,path_count_below_K;low_station_diversity
0.1,844,839,1.1903732275,5,0,0,path_count_below_K
0.1,899,902,1.224609815,5,0,0,path_count_below_K
0.1,912,1013,1.35165807,5,0,0,path_count_below_K;high_demand
0.1,912,584,1.359617535,5,0,0,path_count_below_K;high_demand
0.1,912,642,1.43342865,5,0,0,path_count_below_K;high_demand
0.1,912,889,2.997040075,5,0,0,path_count_below_K;high_demand
0.1,912,934,2.33047824,5,0,0,path_count_below_K;high_demand
0.1,912,937,1.708432605,5,0,0,path_count_below_K;high_demand
0.1,912,955,2.0355428575,5,0,0,path_count_below_K;high_demand
0.1,926,1022,1.30617676,5,0,0,path_count_below_K;high_demand
0.1,926,1029,1.45582907,5,0,0,path_count_below_K;high_demand
0.1,926,902,2.2083254925,5,0,0,path_count_below_K;high_demand
0.1,926,934,1.30934894,5,0,0,path_count_below_K;high_demand
0.2,1004,902,1.376936185,5,0,0,path_count_below_K;high_demand
0.2,1022,1013,1.3955909475,5,0,0,path_count_below_K;high_demand
0.2,1022,1059,1.9356608425,5,0,0,path_count_below_K;high_demand
0.2,1022,1569,1.62402705,5,0,0,path_count_below_K;high_demand
0.2,1059,1071,2.256484925,5,0,0,path_count_below_K;high_demand
0.2,1071,1013,1.161896295,5,0,0,path_count_below_K
0.2,1071,1029,1.6470875575,5,0,0,path_count_below_K;high_demand
0.2,1071,1059,2.785935815,5,0,0,path_count_below_K;high_demand
0.2,1071,1328,2.012463055,5,0,0,path_count_below_K;high_demand
0.2,1071,1338,3.0454614775,5,0,0,path_count_below_K;high_demand
0.2,1071,1564,3.647193135,5,0,0,path_count_below_K;high_demand
0.2,1071,1569,2.4775589775,5,0,0,path_count_below_K;high_demand
